"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"5001600US3916","Congressional District 16 (116th Congress), Ohio","720291","1527"
"5001600US4001","Congressional District 1 (116th Congress), Oklahoma","801857","674"
"5001600US4002","Congressional District 2 (116th Congress), Oklahoma","748847","456"
"5001600US4003","Congressional District 3 (116th Congress), Oklahoma","778159","457"
"5001600US4004","Congressional District 4 (116th Congress), Oklahoma","786723","1272"
"5001600US4005","Congressional District 5 (116th Congress), Oklahoma","817284","1270"
"5001600US4101","Congressional District 1 (116th Congress), Oregon","842952","1268"
"5001600US4102","Congressional District 2 (116th Congress), Oregon","817793","1035"
"5001600US4103","Congressional District 3 (116th Congress), Oregon","837545","1804"
"5001600US4104","Congressional District 4 (116th Congress), Oregon","803194","1213"
"5001600US4105","Congressional District 5 (116th Congress), Oregon","828319","1515"
"5001600US4201","Congressional District 1 (116th Congress), Pennsylvania","709812","535"
"5001600US4202","Congressional District 2 (116th Congress), Pennsylvania","737498","5137"
"5001600US4203","Congressional District 3 (116th Congress), Pennsylvania","722876","5150"
"5001600US4204","Congressional District 4 (116th Congress), Pennsylvania","726966","829"
"5001600US4205","Congressional District 5 (116th Congress), Pennsylvania","716440","3062"
"5001600US4206","Congressional District 6 (116th Congress), Pennsylvania","728613","534"
"5001600US4207","Congressional District 7 (116th Congress), Pennsylvania","726011","524"
"5001600US4208","Congressional District 8 (116th Congress), Pennsylvania","694123","637"
"5001600US4209","Congressional District 9 (116th Congress), Pennsylvania","705270","709"
"5001600US4210","Congressional District 10 (116th Congress), Pennsylvania","731136","972"
"5001600US4211","Congressional District 11 (116th Congress), Pennsylvania","732060","879"
"5001600US4212","Congressional District 12 (116th Congress), Pennsylvania","699352","397"
"5001600US4213","Congressional District 13 (116th Congress), Pennsylvania","697483","881"
"5001600US4214","Congressional District 14 (116th Congress), Pennsylvania","687897","575"
"5001600US4215","Congressional District 15 (116th Congress), Pennsylvania","680881","715"
"5001600US4216","Congressional District 16 (116th Congress), Pennsylvania","687946","591"
"5001600US4217","Congressional District 17 (116th Congress), Pennsylvania","711092","1006"
"5001600US4218","Congressional District 18 (116th Congress), Pennsylvania","696074","880"
"5001600US4401","Congressional District 1 (116th Congress), Rhode Island","533730","1978"
"5001600US4402","Congressional District 2 (116th Congress), Rhode Island","523501","1978"
"5001600US4501","Congressional District 1 (116th Congress), South Carolina","785395","2900"
"5001600US4502","Congressional District 2 (116th Congress), South Carolina","714742","3132"
